elapsed, window, total, successful, failed
5.000311, 5.00031, 16914, 16914, 0
10.001236, 5.000925, 16965, 16965, 0
15.001215, 4.999979, 17036, 17036, 0
20.001223, 5.000008, 16752, 16752, 0
25.001312, 5.000089, 17079, 17079, 0
30.001223, 4.999911, 16841, 16841, 0
35.001255, 5.000032, 17072, 17072, 0
40.001227, 4.999972, 17138, 17138, 0
45.001227, 5.0, 16723, 16723, 0
50.004874, 5.003647, 16752, 16752, 0
55.000223, 4.995349, 17303, 17303, 0
60.001238, 5.001015, 17063, 17063, 0
61.00216, 1.000922, 3301, 3301, 0
