elapsed, window, total, successful, failed
5.000531, 5.000531, 2553, 2553, 0
10.001473, 5.000942, 2745, 2745, 0
15.001409, 4.999936, 2682, 2682, 0
20.001413, 5.000004, 2614, 2614, 0
25.001419, 5.000006, 2759, 2759, 0
30.00141, 4.999991, 2754, 2754, 0
35.001412, 5.000002, 2745, 2745, 0
40.001406, 4.999994, 2565, 2565, 0
45.001509, 5.000103, 2743, 2743, 0
50.001515, 5.000006, 2496, 2496, 0
55.001471, 4.999956, 2692, 2692, 0
60.001499, 5.000028, 2752, 2752, 0
65.001509, 5.00001, 2698, 2698, 0
70.00148, 4.999971, 2737, 2737, 0
75.001502, 5.000022, 2703, 2703, 0
80.001481, 4.999979, 2512, 2512, 0
85.00147, 4.999989, 2704, 2704, 0
90.001523, 5.000053, 2738, 2738, 0
95.001517, 4.999994, 2678, 2678, 0
100.001477, 4.99996, 2663, 2663, 0
105.001415, 4.999938, 2577, 2577, 0
110.001408, 4.999993, 2695, 2695, 0
115.001412, 5.000004, 2720, 2720, 0
120.001476, 5.000064, 2728, 2728, 0
125.001476, 5.0, 2718, 2718, 0
130.001512, 5.000036, 2616, 2616, 0
135.001472, 4.99996, 2728, 2728, 0
140.001498, 5.000026, 2729, 2729, 0
145.001503, 5.000005, 2698, 2698, 0
150.001476, 4.999973, 2695, 2695, 0
155.001477, 5.000001, 2711, 2711, 0
160.001476, 4.999999, 2716, 2716, 0
165.001503, 5.000027, 2722, 2722, 0
170.001502, 4.999999, 2719, 2719, 0
175.001495, 4.999993, 2684, 2684, 0
180.001507, 5.000012, 2684, 2684, 0
181.002141, 1.000634, 415, 415, 0
