elapsed, window, total, successful, failed
5.000265, 5.000264, 10131, 10131, 0
10.001201, 5.000936, 10432, 10432, 0
15.001257, 5.000056, 10380, 10380, 0
20.001196, 4.999939, 10356, 10356, 0
25.001192, 4.999996, 9733, 9733, 0
30.001235, 5.000043, 10482, 10482, 0
35.001231, 4.999996, 10488, 10488, 0
40.0012, 4.999969, 9906, 9906, 0
45.001226, 5.000026, 10533, 10533, 0
50.001202, 4.999976, 10545, 10545, 0
55.001193, 4.999991, 10481, 10481, 0
60.00121, 5.000017, 10478, 10478, 0
61.002071, 1.000861, 2132, 2132, 0
