elapsed, window, total, successful, failed
4.999718, 4.999718, 22399, 22399, 0
10.000807, 5.001089, 15170, 15170, 0
15.00079, 4.999983, 12392, 12392, 0
20.000796, 5.000006, 10865, 10865, 0
25.000731, 4.999935, 10328, 10328, 0
30.00073, 4.999999, 9199, 9199, 0
35.000721, 4.999991, 8898, 8898, 0
40.00072, 4.999999, 8304, 8304, 0
45.000819, 5.000099, 7972, 7972, 0
50.000721, 4.999902, 7355, 7355, 0
55.000728, 5.000007, 7267, 7267, 0
60.000759, 5.000031, 7021, 7021, 0
65.000765, 5.000006, 6786, 6786, 0
70.000732, 4.999967, 6683, 6683, 0
75.000729, 4.999997, 6377, 6377, 0
80.000792, 5.000063, 6413, 6413, 0
85.000729, 4.999937, 6102, 6102, 0
90.000758, 5.000029, 6152, 6152, 0
95.000722, 4.999964, 5971, 5971, 0
100.000727, 5.000005, 5706, 5706, 0
105.000728, 5.000001, 5422, 5422, 0
110.000722, 4.999994, 5249, 5249, 0
115.000817, 5.000095, 5387, 5387, 0
120.000728, 4.999911, 5258, 5258, 0
125.000809, 5.000081, 5187, 5187, 0
130.000762, 4.999953, 5166, 5166, 0
135.000737, 4.999975, 5099, 5099, 0
140.000845, 5.000108, 4779, 4779, 0
145.000753, 4.999908, 4901, 4901, 0
150.000728, 4.999975, 4502, 4502, 0
155.000784, 5.000056, 4911, 4911, 0
160.00073, 4.999946, 4594, 4594, 0
165.000731, 5.000001, 4525, 4525, 0
170.000738, 5.000007, 4627, 4627, 0
175.00073, 4.999992, 4425, 4425, 0
180.000776, 5.000046, 4397, 4397, 0
181.000575, 0.999799, 892, 892, 0
