elapsed, window, total, successful, failed
5.00756, 5.007559, 10139, 10139, 0
10.000912, 4.993352, 10131, 10131, 0
15.000913, 5.000001, 10147, 10147, 0
20.001112, 5.000199, 10085, 10085, 0
25.000918, 4.999806, 10255, 10255, 0
30.000911, 4.999993, 10063, 10063, 0
35.000919, 5.000008, 9839, 9839, 0
40.000917, 4.999998, 10083, 10083, 0
45.000908, 4.999991, 10048, 10048, 0
50.000916, 5.000008, 10233, 10233, 0
55.000912, 4.999996, 10202, 10202, 0
60.000913, 5.000001, 9985, 9985, 0
61.00285, 1.001937, 2006, 2006, 0
