elapsed, window, total, successful, failed
5.000249, 5.000249, 13329, 13329, 0
10.001155, 5.000906, 13883, 13883, 0
15.00115, 4.999995, 13369, 13369, 0
20.001155, 5.000005, 13616, 13616, 0
25.001159, 5.000004, 13541, 13541, 0
30.001155, 4.999996, 13941, 13941, 0
35.001146, 4.999991, 14010, 14010, 0
40.001151, 5.000005, 13976, 13976, 0
45.00115, 4.999999, 14012, 14012, 0
50.001158, 5.000008, 12485, 12485, 0
55.00115, 4.999992, 13707, 13707, 0
60.001152, 5.000002, 13684, 13684, 0
61.001161, 1.000009, 2757, 2757, 0
