elapsed, window, total, successful, failed
5.000664, 5.000664, 10375, 10375, 0
10.001664, 5.001, 10911, 10911, 0
15.001667, 5.000003, 10852, 10852, 0
20.001666, 4.999999, 11130, 11130, 0
25.001672, 5.000006, 10920, 10920, 0
30.001663, 4.999991, 11046, 11046, 0
35.001663, 5.0, 10776, 10776, 0
40.001662, 4.999999, 10588, 10588, 0
45.001665, 5.000003, 10467, 10467, 0
50.001665, 5.0, 10757, 10757, 0
55.001666, 5.000001, 10596, 10596, 0
60.001671, 5.000005, 10850, 10850, 0
61.002099, 1.000428, 2144, 2144, 0
