elapsed, window, total, successful, failed
5.000217, 5.000217, 79578, 79578, 0
10.001225, 5.001008, 82567, 82567, 0
15.001215, 4.99999, 82625, 82625, 0
20.001266, 5.000051, 83071, 83071, 0
25.001244, 4.999978, 82852, 82852, 0
30.00126, 5.000016, 84514, 84514, 0
35.001211, 4.999951, 82262, 82262, 0
40.001222, 5.000011, 84586, 84586, 0
45.001215, 4.999993, 83442, 83442, 0
50.00122, 5.000005, 78882, 78882, 0
55.001212, 4.999992, 82765, 82765, 0
60.001221, 5.000009, 82981, 82981, 0
61.003427, 1.002206, 15304, 15304, 0
