elapsed, window, total, successful, failed
5.000076, 5.000076, 77100, 77100, 0
10.000978, 5.000902, 78120, 78120, 0
15.000967, 4.999989, 79017, 79017, 0
20.000968, 5.000001, 77220, 77220, 0
25.001, 5.000032, 77021, 77021, 0
30.000971, 4.999971, 77565, 77565, 0
35.001046, 5.000075, 78409, 78409, 0
40.00097, 4.999924, 74171, 74171, 0
45.00097, 5.0, 79300, 79300, 0
50.000967, 4.999997, 78397, 78397, 0
55.000964, 4.999997, 78729, 78729, 0
60.000966, 5.000002, 77361, 77361, 0
61.000687, 0.999721, 15005, 15005, 0
