elapsed, window, total, successful, failed
5.000802, 5.000802, 10359, 10359, 0
10.000808, 5.000006, 10761, 10761, 0
15.000802, 4.999994, 10524, 10524, 0
20.000794, 4.999992, 10631, 10631, 0
25.000814, 5.00002, 10589, 10589, 0
30.000811, 4.999997, 10632, 10632, 0
35.000809, 4.999998, 10623, 10623, 0
40.0008, 4.999991, 10496, 10496, 0
45.000798, 4.999998, 10592, 10592, 0
50.0008, 5.000002, 10487, 10487, 0
55.000811, 5.000011, 10463, 10463, 0
60.000799, 4.999988, 10452, 10452, 0
61.001244, 1.000445, 2112, 2112, 0
