elapsed, window, total, successful, failed
5.000144, 5.000144, 67686, 67686, 0
10.001093, 5.000949, 55454, 55454, 0
15.001097, 5.000004, 59749, 59749, 0
20.001093, 4.999996, 63205, 63205, 0
25.001106, 5.000013, 79441, 79441, 0
30.001108, 5.000002, 61488, 61488, 0
35.001104, 4.999996, 62252, 62252, 0
40.001089, 4.999985, 74865, 74865, 0
45.0011, 5.000011, 70321, 70321, 0
50.001092, 4.999992, 71683, 71683, 0
55.005113, 5.004021, 64934, 64934, 0
60.005093, 4.99998, 74807, 74807, 0
61.006736, 1.001643, 12313, 12313, 0
