elapsed, window, total, successful, failed
5.000468, 5.000468, 79541, 79541, 0
10.001924, 5.001456, 82102, 82102, 0
15.000463, 4.998539, 83939, 83939, 0
20.001478, 5.001015, 84444, 84444, 0
25.001471, 4.999993, 79612, 79612, 0
30.001471, 5.0, 83284, 83284, 0
35.001505, 5.000034, 76120, 76120, 0
40.001466, 4.999961, 83238, 83238, 0
45.001474, 5.000008, 81550, 81550, 0
50.001474, 5.0, 74153, 74153, 0
55.001469, 4.999995, 84022, 84022, 0
60.001468, 4.999999, 83257, 83257, 0
61.002179, 1.000711, 15091, 15091, 0
