elapsed, window, total, successful, failed
5.000347, 5.000347, 41458, 41458, 0
10.001264, 5.000917, 31700, 31700, 0
15.001267, 5.000003, 26877, 26877, 0
20.001274, 5.000007, 24428, 24428, 0
25.00127, 4.999996, 22162, 22162, 0
30.001282, 5.000012, 20579, 20579, 0
35.001272, 4.99999, 19329, 19329, 0
40.001349, 5.000077, 18773, 18773, 0
45.001422, 5.000073, 18384, 18384, 0
50.001277, 4.999855, 18106, 18106, 0
55.0013, 5.000023, 17009, 17009, 0
60.00127, 4.99997, 16529, 16529, 0
65.001276, 5.000006, 15822, 15822, 0
70.001271, 4.999995, 15170, 15170, 0
75.001378, 5.000107, 15379, 15379, 0
80.001288, 4.99991, 14770, 14770, 0
85.001272, 4.999984, 14063, 14063, 0
90.001277, 5.000005, 13915, 13915, 0
95.001364, 5.000087, 13677, 13677, 0
100.001366, 5.000002, 13260, 13260, 0
105.001439, 5.000073, 12784, 12784, 0
110.001339, 4.9999, 12604, 12604, 0
115.001281, 4.999942, 12297, 12297, 0
120.001477, 5.000196, 13002, 13002, 0
125.001274, 4.999797, 11779, 11779, 0
130.001412, 5.000138, 11703, 11703, 0
135.00127, 4.999858, 11103, 11103, 0
140.001374, 5.000104, 11232, 11232, 0
145.001287, 4.999913, 11103, 11103, 0
150.001271, 4.999984, 11450, 11450, 0
155.001275, 5.000004, 10681, 10681, 0
160.001329, 5.000054, 11077, 11077, 0
165.001281, 4.999952, 11177, 11177, 0
170.001352, 5.000071, 10312, 10312, 0
175.001351, 4.999999, 10515, 10515, 0
180.001321, 4.99997, 11107, 11107, 0
181.001484, 1.000163, 1876, 1876, 0
