elapsed, window, total, successful, failed
5.000527, 5.000527, 10886, 10886, 0
10.001455, 5.000928, 11062, 11062, 0
15.001449, 4.999994, 11179, 11179, 0
20.001445, 4.999996, 11089, 11089, 0
25.001453, 5.000008, 11218, 11218, 0
30.001448, 4.999995, 11220, 11220, 0
35.001452, 5.000004, 11172, 11172, 0
40.001448, 4.999996, 11262, 11262, 0
45.001452, 5.000004, 11263, 11263, 0
50.001505, 5.000053, 11206, 11206, 0
55.001446, 4.999941, 11162, 11162, 0
60.001459, 5.000013, 11233, 11233, 0
61.002346, 1.000887, 2229, 2229, 0
