elapsed, window, total, successful, failed
4.999941, 4.999941, 11054, 11054, 0
10.00086, 5.000919, 10945, 10945, 0
15.000864, 5.000004, 10796, 10796, 0
20.000855, 4.999991, 11141, 11141, 0
25.000867, 5.000012, 10844, 10844, 0
30.000866, 4.999999, 11247, 11247, 0
35.00086, 4.999994, 11222, 11222, 0
40.000855, 4.999995, 10923, 10923, 0
45.000847, 4.999992, 10846, 10846, 0
50.000859, 5.000012, 10788, 10788, 0
55.000849, 4.99999, 10973, 10973, 0
60.000847, 4.999998, 10980, 10980, 0
61.000561, 0.999714, 2100, 2100, 0
