elapsed, window, total, successful, failed
5.000512, 5.000512, 13690, 13690, 0
10.00144, 5.000928, 13692, 13692, 0
15.001496, 5.000056, 13813, 13813, 0
20.001447, 4.999951, 13949, 13949, 0
25.00145, 5.000003, 13964, 13964, 0
30.001447, 4.999997, 13810, 13810, 0
35.001447, 5.0, 13871, 13871, 0
40.001444, 4.999997, 13894, 13894, 0
45.001445, 5.000001, 14024, 14024, 0
50.001469, 5.000024, 14067, 14067, 0
55.001468, 4.999999, 13871, 13871, 0
60.006032, 5.004564, 13801, 13801, 0
61.001557, 0.995525, 2692, 2692, 0
