elapsed, window, total, successful, failed
5.000262, 5.000261, 14656, 14656, 0
10.001163, 5.000901, 15097, 15097, 0
15.001228, 5.000065, 14821, 14821, 0
20.001164, 4.999936, 14745, 14745, 0
25.001171, 5.000007, 14908, 14908, 0
30.001161, 4.99999, 14378, 14378, 0
35.001161, 5.0, 15073, 15073, 0
40.009853, 5.008692, 14847, 14847, 0
45.000173, 4.99032, 15006, 15006, 0
50.001175, 5.001002, 15005, 15005, 0
55.001157, 4.999982, 15221, 15221, 0
60.001171, 5.000014, 14904, 14904, 0
61.006076, 1.004905, 2935, 2935, 0
