elapsed, window, total, successful, failed
5.000027, 5.000026, 13123, 13123, 0
10.000971, 5.000944, 13645, 13645, 0
15.000957, 4.999986, 13725, 13725, 0
20.000959, 5.000002, 13587, 13587, 0
25.00096, 5.000001, 13288, 13288, 0
30.000966, 5.000006, 13613, 13613, 0
35.000964, 4.999998, 13677, 13677, 0
40.001066, 5.000102, 13506, 13506, 0
45.000951, 4.999885, 13673, 13673, 0
50.000963, 5.000012, 13682, 13682, 0
55.000961, 4.999998, 13660, 13660, 0
60.000954, 4.999993, 13709, 13709, 0
61.00181, 1.000856, 2717, 2717, 0
