elapsed, window, total, successful, failed
5.000209, 5.000209, 251, 251, 0
10.001201, 5.000992, 315, 315, 0
15.001186, 4.999985, 329, 329, 0
20.001211, 5.000025, 319, 319, 0
25.001215, 5.000004, 330, 330, 0
30.001186, 4.999971, 335, 335, 0
35.001177, 4.999991, 334, 334, 0
40.001209, 5.000032, 335, 335, 0
45.001184, 4.999975, 340, 340, 0
50.001185, 5.000001, 301, 301, 0
55.001195, 5.00001, 332, 332, 0
60.001192, 4.999997, 343, 343, 0
65.001189, 4.999997, 337, 337, 0
70.001168, 4.999979, 331, 331, 0
75.001187, 5.000019, 343, 343, 0
80.001203, 5.000016, 333, 333, 0
85.001248, 5.000045, 325, 325, 0
90.001181, 4.999933, 342, 342, 0
95.001201, 5.00002, 328, 328, 0
100.001187, 4.999986, 334, 334, 0
105.001181, 4.999994, 324, 324, 0
110.001192, 5.000011, 334, 334, 0
115.001187, 4.999995, 341, 341, 0
120.001205, 5.000018, 339, 339, 0
125.001191, 4.999986, 323, 323, 0
130.001176, 4.999985, 325, 325, 0
135.001181, 5.000005, 327, 327, 0
140.00118, 4.999999, 346, 346, 0
145.001178, 4.999998, 322, 322, 0
150.001183, 5.000005, 327, 327, 0
155.001204, 5.000021, 332, 332, 0
160.001185, 4.999981, 345, 345, 0
165.001186, 5.000001, 342, 342, 0
170.001184, 4.999998, 329, 329, 0
175.001189, 5.000005, 300, 300, 0
180.001186, 4.999997, 336, 336, 0
181.001028, 0.999842, 60, 60, 0
